field,time,temperature,ra,dec,az,alt,airmass,ha,FU1_ra,FU1_dec,FU1_Delta_ra,FU1_Delta_dec,FU1_distance,FU1_Delta_Teff,FU1_X_calculated,FU1_Y_calculated,FU1_X_observed,FU1_Y_observed,FU1_Delta_X,FU1_Delta_Y,FU2_ra,FU2_dec,FU2_Delta_ra,FU2_Delta_dec,FU2_distance,FU2_Delta_Teff,FU2_X_calculated,FU2_Y_calculated,FU2_X_observed,FU2_Y_observed,FU2_Delta_X,FU2_Delta_Y,FU3_ra,FU3_dec,FU3_Delta_ra,FU3_Delta_dec,FU3_distance,FU3_Delta_Teff,FU3_X_calculated,FU3_Y_calculated,FU3_X_observed,FU3_Y_observed,FU3_Delta_X,FU3_Delta_Y,FU4_ra,FU4_dec,FU4_Delta_ra,FU4_Delta_dec,FU4_distance,FU4_Delta_Teff,FU4_X_calculated,FU4_Y_calculated,FU4_X_observed,FU4_Y_observed,FU4_Delta_X,FU4_Delta_Y,FU5_ra,FU5_dec,FU5_Delta_ra,FU5_Delta_dec,FU5_distance,FU5_Delta_Teff,FU5_X_calculated,FU5_Y_calculated,FU5_X_observed,FU5_Y_observed,FU5_Delta_X,FU5_Delta_Y 
TOI-704_W_2019-11-27.fits,1580184844.4,15.3,91.46988496013289,-55.223489419478504,209.78343608540789,57.13314582633817,1.190569802562571,0.49248869442649407,91.58722523036258,-55.554285527986906,0.11734027022968974,-0.3307961085084017,28586.236287684354,2186.0,6174168.0,-4599573.0,6182187.0,-4592270.0,5465226.0,-28032240.0,91.90929125313752,-55.480575083293466,0.4394062930046374,-0.2570856638149621,30365.60380290267,2203.62,-13608381.0,-3851845.0,-13606507.0,-3853560.0,-14455060.0,-26715907.0,91.94087609032248,-55.24420061917446,0.4709911301895886,-0.020711199695952587,22808.754201035692,904.3000000000002,-19140168.0,11627288.0,-19141970.0,11624904.0,-19519354.0,-11782265.0,91.5097630571923,-55.112056867248334,0.039878097059414586,0.11143255223016979,9623.630680334378,2821.7700000000004,-7390500.0,16850607.0,-7393590.0,16844126.0,-7123180.0,-6460714.0,91.18661462101274,-55.313330658374085,-0.28327033912015054,-0.08984123889558049,15633.111728513753,660.1199999999999,2964257.0,8177329.0,2976720.0,8197428.0,2946993.0,-15327447.0
TOI-704_W_2019-11-27.fits,1583797450.2,17.1,91.47043417786959,-55.223505582243895,182.53439192032857,63.9902817826423,1.112694005994223,0.0340948452960347,91.5877632863135,-55.55430310249558,0.11732910844391142,-0.33079752025168574,28587.80571711892,2186.0,6173775.0,-4601247.0,6179441.0,-4589667.0,5462480.0,-28029637.0,91.90983328154367,-55.48059660563924,0.4393991036740772,-0.25709102339534695,30369.28691545122,2203.62,-13612391.0,-3853865.0,-13614071.0,-3849282.0,-14462624.0,-26711629.0,91.94142509298179,-55.24422189710974,0.47099091511219626,-0.0207163148658438,22813.441164536805,904.3000000000002,-19146431.0,11628607.0,-19139300.0,11628514.0,-19516684.0,-11778655.0,91.51031603488806,-55.112074199162436,0.03988185701847158,0.1114313830814595,9623.892632716148,2821.7700000000004,-7394931.0,16855119.0,-7390980.0,16848446.0,-7120570.0,-6456394.0,91.1871825885723,-55.31333302961014,-0.28325158929729355,-0.08982744736624682,15629.357160273898,660.1199999999999,2963645.0,8181033.0,2975480.0,8202736.0,2945753.0,-15322139.0
TOI-789_W_2020-02-04.fits,1611204780.628105,15.8,115.25061029870506,-71.15979443070096,183.85223458259742,47.86145812916086,1.3485727650527786,0.1404154360158066,116.02984119220717,-71.4536081293377,0.7792308935021168,-0.2938136986367397,32672.15095500061,4063.3500000000004,21537878.0,-1708661.0,21541257.0,-1687272.0,20824296.0,-25127242.0,116.14595405388702,-71.2307974247995,0.895343755181969,-0.07100299409854927,25173.52127446233,983.9200000000001,2250491.0,-2252586.0,2273884.0,-2248045.0,1425331.0,-25110392.0,115.29674931146157,-70.93648032716408,0.04613901275651244,0.22331410353687886,18943.191009077786,1189.6000000000004,10335822.0,7320278.0,10342295.0,7320510.0,9964911.0,-16086659.0,114.35717542932672,-71.19538791276389,-0.8934348693783392,-0.03559348206293578,24602.219369365597,1298.25,21244391.0,11422081.0,21244252.0,11420814.0,21514662.0,-11884026.0,115.22647533250073,-71.35354130977768,-0.02413496620432909,-0.19374687907672694,16428.86300158127,-205.46000000000004,15379088.0,17724631.0,15370718.0,17738265.0,15340991.0,-5786610.0
TOI-789_W_2020-02-04.fits,1611204922.674705,15.8,115.25061028995344,-71.15979444136352,184.13269803226396,47.825406107085286,1.3493412378213339,0.15077363884907005,116.02984118276433,-71.45360814032459,0.7792308928108866,-0.293813698961074,32672.052761904648,4063.3500000000004,21537816.0,-1708585.0,21540816.0,-1687478.0,20823855.0,-25127448.0,116.14595404536433,-71.23079743582375,0.8953437554108916,-0.07100299446022973,25173.383908726162,983.9200000000001,2250537.0,-2252445.0,2274469.0,-2248076.0,1425916.0,-25110423.0,115.29674930360713,-70.93648033782127,0.046139013653686334,0.22331410354225056,18943.19492886411,1189.6000000000004,10335989.0,7320377.0,10340566.0,7320821.0,9963182.0,-16086348.0,114.35717541993581,-71.19538792305745,-0.8934348700176287,-0.035593481693936724,24602.354774929416,1298.25,21244529.0,11422052.0,21244998.0,11420676.0,21515408.0,-11884164.0,115.22647532316783,-71.35354132027206,-0.02413496678560989,-0.19374687890854148,16428.855087055108,-205.46000000000004,15379048.0,17724547.0,15370275.0,17738296.0,15340548.0,-5786579.0
TOI-789_W_2020-02-04.fits,1611205493.711288,15.6,115.25061025477129,-71.15979448422765,185.24999951144562,47.65511120184219,1.3529903136209933,0.19241428879831646,116.0298411448035,-71.45360818449257,0.7792308900322098,-0.29381370026491993,32671.650622367182,4063.3500000000004,21537620.0,-1708225.0,21540765.0,-1686507.0,20823804.0,-25126477.0,116.14595401110243,-71.23079748014192,0.8953437563311439,-0.07100299591427017,25172.829194187165,983.9200000000001,2250784.0,-2251876.0,2275560.0,-2246495.0,1427007.0,-25108842.0,115.29674927203172,-70.93648038066391,0.04613901726042968,0.22331410356373738,18943.22021447482,1189.6000000000004,10336699.0,7320788.0,10344044.0,7319710.0,9966660.0,-16087459.0,114.35717538218381,-71.19538796443818,-0.893434872587477,-0.035593480210536654,24602.89831975156,1298.25,21245107.0,11421975.0,21244267.0,11418486.0,21514677.0,-11886354.0,115.22647528564902,-71.35354136246013,-0.02413496912227231,-0.19374687823248848,16428.813467429827,-205.46000000000004,15378890.0,17724247.0,15369275.0,17738250.0,15339548.0,-5786625.0
TOI-789_W_2020-02-04.fits,1611209943.480998,15.0,115.2506099806164,-71.15979481824402,193.04279551419523,45.034085729462596,1.4133729853415569,0.5168966571526905,116.02984084899586,-71.45360852866897,0.7792308683794573,-0.2938137104249421,32668.089523981256,4063.3500000000004,21539001.0,-1702464.0,21539070.0,-1688292.0,20822109.0,-25128262.0,116.14595374411866,-71.23079782548871,0.8953437635022539,-0.07100300724468411,25168.35381727116,983.9200000000001,2256137.0,-2247081.0,2273239.0,-2244995.0,1424686.0,-25107342.0,115.29674902598235,-70.93648071451268,0.046139045365947595,0.2233141037313402,18943.9603380865,1189.6000000000004,10344444.0,7324723.0,10344458.0,7322088.0,9967074.0,-16085081.0,114.35717508800336,-71.19538828689524,-0.893434892613044,-0.035593468651214266,24607.099024447165,1298.25,21250685.0,11423407.0,21240244.0,11419120.0,21510654.0,-11885720.0,115.22647499328579,-71.35354169120832,-0.024134987330612034,-0.19374687296429727,16427.930463576933,-205.46000000000004,15377791.0,17723836.0,15369171.0,17738568.0,15339444.0,-5786307.0
TOI-789_W_2020-02-04.fits,1611211496.010863,14.6,115.25060988496344,-71.15979493478272,195.23866231425825,43.649120648827676,1.448771158223565,0.6301089356230312,116.02984074578823,-71.4536086487525,0.7792308608247964,-0.29381371396978295,32666.65358901922,4063.3500000000004,21540673.0,-1699218.0,21539274.0,-1688807.0,20822313.0,-25128777.0,116.1459536509677,-71.23079794598063,0.8953437660042596,-0.07100301119790231,25166.71975018213,983.9200000000001,2259431.0,-2245251.0,2271375.0,-2244063.0,1422822.0,-25106410.0,115.29674894013544,-70.9364808309929,0.04613905517200578,0.22331410378981786,18944.461949206565,1189.6000000000004,10348071.0,7326386.0,10344777.0,7321323.0,9967393.0,-16085846.0,114.35717498536347,-71.1953883994009,-0.893434899599967,-0.0355934646181737,24608.553026042016,1298.25,21253067.0,11424722.0,21239639.0,11418440.0,21510049.0,-11886400.0,115.2264748912799,-71.35354180590897,-0.024134993683532002,-0.1937468711262511,16427.372263920082,-205.46000000000004,15377442.0,17724489.0,15369277.0,17739058.0,15339550.0,-5785817.0
TOI-789_W_2020-02-04.fits,1611211777.25179,14.6,115.2506098676359,-71.15979495589372,195.60263553044723,43.37651172791885,1.4560500138458794,0.6506173502177668,116.02984072709214,-71.45360867050564,0.7792308594562343,-0.29381371461192884,32666.381760773267,4063.3500000000004,21541041.0,-1698562.0,21537966.0,-1688067.0,20821005.0,-25128037.0,116.14595363409337,-71.23079796780775,0.8953437664574722,-0.07100301191402991,25166.41924604311,983.9200000000001,2260106.0,-2244911.0,2272530.0,-2241678.0,1423977.0,-25104025.0,115.29674892458426,-70.93648085209334,0.04613905694836262,0.22331410380037653,18944.567529212352,1189.6000000000004,10348779.0,7326701.0,10346623.0,7321954.0,9969239.0,-16085215.0,114.35717496677023,-71.1953884197813,-0.893434900865671,-0.035593463887579446,24608.815806892275,1298.25,21253521.0,11425003.0,21240931.0,11415794.0,21511341.0,-11889046.0,115.22647487280152,-71.35354182668698,-0.02413499483438386,-0.19374687079326236,16427.25605184402,-205.46000000000004,15377379.0,17724651.0,15368328.0,17737342.0,15338601.0,-5787533.0
TOI-789_W_2020-02-04.fits,1611213471.115687,14.9,115.25060976327518,-71.15979508304147,197.5681093079755,41.61079925570921,1.505871813367341,0.7741358702156818,116.029840614489,-71.45360880152096,0.7792308512138248,-0.293813718479484,32664.66414909538,4063.3500000000004,21543661.0,-1694165.0,21536299.0,-1689794.0,20819338.0,-25129764.0,116.14595353246244,-71.23079809926858,0.8953437691872637,-0.07100301622710958,25164.578587389078,983.9200000000001,2264680.0,-2242797.0,2270714.0,-2240890.0,1422161.0,-25103237.0,115.2967488309223,-70.93648097917729,0.04613906764711828,0.22331410386418327,18945.305045652083,1189.6000000000004,10353374.0,7328689.0,10346134.0,7321606.0,9968750.0,-16085563.0,114.35717485478654,-71.19538854252886,-0.8934349084886435,-0.035593459487387236,24610.393939451893,1298.25,21256399.0,11426962.0,21240422.0,11418069.0,21510832.0,-11886771.0,115.22647476150955,-71.35354195182936,-0.024135001765628772,-0.1937468687878834,16426.452031428405,-205.46000000000004,15376995.0,17725904.0,15370234.0,17737507.0,15340507.0,-5787368.0
TOI-789_W_2020-02-04.fits,1611213611.73625,14.9,115.2506097546114,-71.159795093597,197.71364119839424,41.455459870253655,1.5104881555007423,0.7843900847716146,116.02984060514098,-71.45360881239756,0.7792308505295722,-0.29381371880056406,32664.515129716692,4063.3500000000004,21543910.0,-1693766.0,21537214.0,-1690369.0,20820253.0,-25130339.0,116.14595352402529,-71.23079811018215,0.8953437694138842,-0.07100301658515207,25164.42333703663,983.9200000000001,2265099.0,-2242617.0,2270030.0,-2241880.0,1421477.0,-25104227.0,115.2967488231467,-70.93648098972751,0.0461390685352967,0.22331410386948392,18945.37443378812,1189.6000000000004,10353781.0,7328860.0,10345989.0,7323012.0,9968605.0,-16084157.0,114.35717484548991,-71.19538855271905,-0.8934349091214955,-0.03559345912205458,24610.524554981253,1298.25,21256648.0,11427145.0,21241175.0,11417784.0,21511585.0,-11887056.0,115.22647475227038,-71.35354196221839,-0.02413500234102628,-0.193746868621389,16426.376933044707,-205.46000000000004,15376962.0,17726029.0,15370725.0,17737606.0,15340998.0,-5787269.0
