field,time,temperature,ra,dec,az,alt,airmass,ha,FU1_ra,FU1_dec,FU1_Delta_ra,FU1_Delta_dec,FU1_distance,FU1_Delta_Teff,FU1_X_calculated,FU1_Y_calculated,FU1_X_observed,FU1_Y_observed,FU1_Delta_X,FU1_Delta_Y,FU2_ra,FU2_dec,FU2_Delta_ra,FU2_Delta_dec,FU2_distance,FU2_Delta_Teff,FU2_X_calculated,FU2_Y_calculated,FU2_X_observed,FU2_Y_observed,FU2_Delta_X,FU2_Delta_Y,FU3_ra,FU3_dec,FU3_Delta_ra,FU3_Delta_dec,FU3_distance,FU3_Delta_Teff,FU3_X_calculated,FU3_Y_calculated,FU3_X_observed,FU3_Y_observed,FU3_Delta_X,FU3_Delta_Y,FU4_ra,FU4_dec,FU4_Delta_ra,FU4_Delta_dec,FU4_distance,FU4_Delta_Teff,FU4_X_calculated,FU4_Y_calculated,FU4_X_observed,FU4_Y_observed,FU4_Delta_X,FU4_Delta_Y,FU5_ra,FU5_dec,FU5_Delta_ra,FU5_Delta_dec,FU5_distance,FU5_Delta_Teff,FU5_X_calculated,FU5_Y_calculated,FU5_X_observed,FU5_Y_observed,FU5_Delta_X,FU5_Delta_Y 
TOI-704_W_2019-11-27.fits,1580184844.4,15.3,91.46988496013289,-55.223489419478504,209.78343608540789,57.13314582633817,1.190569802562571,0.49248869442649407,91.58722523036258,-55.554285527986906,0.11734027022968974,-0.3307961085084017,28586.23561864023,2186.0,6174201.0,-4599566.0,6182187.0,-4592270.0,5465226.0,-28032240.0,91.90929125313752,-55.480575083293466,0.4394062930046374,-0.2570856638149621,30365.59900628247,2203.62,-13608348.0,-3851857.0,-13606507.0,-3853560.0,-14455060.0,-26715907.0,91.94087609032248,-55.24420061917446,0.4709911301895886,-0.020711199695952587,22808.753434509043,904.3000000000002,-19140153.0,11627265.0,-19141970.0,11624904.0,-19519354.0,-11782265.0,91.5097630571923,-55.112056867248334,0.039878097059414586,0.11143255223016979,9623.634445922336,2821.7700000000004,-7390495.0,16850596.0,-7393590.0,16844126.0,-7123180.0,-6460714.0,91.18661462101274,-55.313330658374085,-0.28327033912015054,-0.08984123889558049,15633.196033511114,660.1199999999999,2964308.0,8177253.0,2976720.0,8197428.0,2946993.0,-15327447.0
TOI-704_W_2019-11-27.fits,1583797450.2,17.1,91.47043417786959,-55.223505582243895,182.53439192032857,63.9902817826423,1.112694005994223,0.0340948452960347,91.5877632863135,-55.55430310249558,0.11732910844391142,-0.33079752025168574,28587.80505335776,2186.0,6173809.0,-4601240.0,6179441.0,-4589667.0,5462480.0,-28029637.0,91.90983328154367,-55.48059660563924,0.4393991036740772,-0.25709102339534695,30369.28212224751,2203.62,-13612358.0,-3853878.0,-13614071.0,-3849282.0,-14462624.0,-26711629.0,91.94142509298179,-55.24422189710974,0.47099091511219626,-0.0207163148658438,22813.440397796476,904.3000000000002,-19146417.0,11628584.0,-19139300.0,11628514.0,-19516684.0,-11778655.0,91.51031603488806,-55.112074199162436,0.03988185701847158,0.1114313830814595,9623.896392483375,2821.7700000000004,-7394926.0,16855107.0,-7390980.0,16848446.0,-7120570.0,-6456394.0,91.1871825885723,-55.31333302961014,-0.28325158929729355,-0.08982744736624682,15629.441471732258,660.1199999999999,2963696.0,8180957.0,2975480.0,8202736.0,2945753.0,-15322139.0
HD96670_W_2020-02-03.fits,1580805435.2161064,14.0,167.02171008660835,-59.98205132839796,201.96150575894546,54.789504994988896,1.223931336320701,0.44576443616123634,167.27221754911338,-60.21419547656507,0.250507462505027,-0.2321441481671087,22329.041871889098,-4301.38,11131918.0,3707982.0,11137383.0,3719044.0,10420422.0,-19720926.0,167.55262099743132,-60.0059483386615,0.5309109108229677,-0.023897010263539187,22569.3552333486,-4555.92,5581336.0,823128.0,5598119.0,824289.0,4749566.0,-22038058.0,167.2959171945736,-59.827110367547704,0.27420710796525327,0.15494096085025433,17529.16016686603,-4221.55,-1464801.0,5985602.0,-1462020.0,5980388.0,-1839404.0,-17426781.0,166.74472332009196,-59.81355999253913,-0.2769867665163872,0.1684913358588247,18490.306433676724,-4600.05,819012.0,4854261.0,815252.0,4851057.0,1085662.0,-18453783.0,166.278857312284,-60.005418028721394,-0.7428527743243478,-0.023366700323435907,31540.408918465066,-5013.42,-7837035.0,-7016344.0,-7844856.0,-7003260.0,-7874583.0,-30528135.0
TOI-789_W_2020-02-04.fits,1611204780.628105,15.8,115.25061029870506,-71.15979443070096,183.85223458259742,47.86145812916086,1.3485727650527786,0.1404154360158066,116.02984119220717,-71.4536081293377,0.7792308935021168,-0.2938136986367397,32672.14915950862,4063.3500000000004,21537926.0,-1708618.0,21541257.0,-1687272.0,20824296.0,-25127242.0,116.14595405388702,-71.2307974247995,0.895343755181969,-0.07100299409854927,25173.520946195662,983.9200000000001,2250541.0,-2252582.0,2273884.0,-2248045.0,1425331.0,-25110392.0,115.29674931146157,-70.93648032716408,0.04613901275651244,0.22331410353687886,18943.187769090422,1189.6000000000004,10335853.0,7320301.0,10342295.0,7320510.0,9964911.0,-16086659.0,114.35717542932672,-71.19538791276389,-0.8934348693783392,-0.03559348206293578,24602.21859209136,1298.25,21244414.0,11422124.0,21244252.0,11420814.0,21514662.0,-11884026.0,115.22647533250073,-71.35354130977768,-0.02413496620432909,-0.19374687907672694,16428.884440034166,-205.46000000000004,15379117.0,17724647.0,15370718.0,17738265.0,15340991.0,-5786610.0
TOI-789_W_2020-02-04.fits,1611204922.674705,15.8,115.25061028995344,-71.15979444136352,184.13269803226396,47.825406107085286,1.3493412378213339,0.15077363884907005,116.02984118276433,-71.45360814032459,0.7792308928108866,-0.293813698961074,32672.050966168965,4063.3500000000004,21537864.0,-1708542.0,21540816.0,-1687478.0,20823855.0,-25127448.0,116.14595404536433,-71.23079743582375,0.8953437554108916,-0.07100299446022973,25173.383580299895,983.9200000000001,2250587.0,-2252442.0,2274469.0,-2248076.0,1425916.0,-25110423.0,115.29674930360713,-70.93648033782127,0.046139013653686334,0.22331410354225056,18943.191689138683,1189.6000000000004,10336019.0,7320400.0,10340566.0,7320821.0,9963182.0,-16086348.0,114.35717541993581,-71.19538792305745,-0.8934348700176287,-0.035593481693936724,24602.35399771016,1298.25,21244552.0,11422096.0,21244998.0,11420676.0,21515408.0,-11884164.0,115.22647532316783,-71.35354132027206,-0.02413496678560989,-0.19374687890854148,16428.876525290292,-205.46000000000004,15379077.0,17724563.0,15370275.0,17738296.0,15340548.0,-5786579.0
TOI-789_W_2020-02-04.fits,1611205493.711288,15.6,115.25061025477129,-71.15979448422765,185.24999951144562,47.65511120184219,1.3529903136209933,0.19241428879831646,116.0298411448035,-71.45360818449257,0.7792308900322098,-0.29381370026491993,32671.64882554992,4063.3500000000004,21537668.0,-1708183.0,21540765.0,-1686507.0,20823804.0,-25126477.0,116.14595401110243,-71.23079748014192,0.8953437563311439,-0.07100299591427017,25172.82886513013,983.9200000000001,2250834.0,-2251872.0,2275560.0,-2246495.0,1427007.0,-25108842.0,115.29674927203172,-70.93648038066391,0.04613901726042968,0.22331410356373738,18943.21697581974,1189.6000000000004,10336730.0,7320811.0,10344044.0,7319710.0,9966660.0,-16087459.0,114.35717538218381,-71.19538796443818,-0.893434872587477,-0.035593480210536654,24602.897542722065,1298.25,21245130.0,11422018.0,21244267.0,11418486.0,21514677.0,-11886354.0,115.22647528564902,-71.35354136246013,-0.02413496912227231,-0.19374687823248848,16428.83490481571,-205.46000000000004,15378918.0,17724262.0,15369275.0,17738250.0,15339548.0,-5786625.0
TOI-789_W_2020-02-04.fits,1611209943.480998,15.0,115.2506099806164,-71.15979481824402,193.04279551419523,45.034085729462596,1.4133729853415569,0.5168966571526905,116.02984084899586,-71.45360852866897,0.7792308683794573,-0.2938137104249421,32668.08771942786,4063.3500000000004,21539050.0,-1702422.0,21539070.0,-1688292.0,20822109.0,-25128262.0,116.14595374411866,-71.23079782548871,0.8953437635022539,-0.07100300724468411,25168.353484337804,983.9200000000001,2256187.0,-2247078.0,2273239.0,-2244995.0,1424686.0,-25107342.0,115.29674902598235,-70.93648071451268,0.046139045365947595,0.2233141037313402,18943.957107880873,1189.6000000000004,10344475.0,7324746.0,10344458.0,7322088.0,9967074.0,-16085081.0,114.35717508800336,-71.19538828689524,-0.893434892613044,-0.035593468651214266,24607.098247815393,1298.25,21250708.0,11423450.0,21240244.0,11419120.0,21510654.0,-11885720.0,115.22647499328579,-71.35354169120832,-0.024134987330612034,-0.19374687296429727,16427.951894193557,-205.46000000000004,15377820.0,17723852.0,15369171.0,17738568.0,15339444.0,-5786307.0
TOI-789_W_2020-02-04.fits,1611211496.010863,14.6,115.25060988496344,-71.15979493478272,195.23866231425825,43.649120648827676,1.448771158223565,0.6301089356230312,116.02984074578823,-71.4536086487525,0.7792308608247964,-0.29381371396978295,32666.651782050278,4063.3500000000004,21540722.0,-1699176.0,21539274.0,-1688807.0,20822313.0,-25128777.0,116.1459536509677,-71.23079794598063,0.8953437660042596,-0.07100301119790231,25166.719416341974,983.9200000000001,2259481.0,-2245248.0,2271375.0,-2244063.0,1422822.0,-25106410.0,115.29674894013544,-70.9364808309929,0.04613905517200578,0.22331410378981786,18944.458722017855,1189.6000000000004,10348101.0,7326408.0,10344777.0,7321323.0,9967393.0,-16085846.0,114.35717498536347,-71.1953883994009,-0.893434899599967,-0.0355934646181737,24608.55224905868,1298.25,21253090.0,11424766.0,21239639.0,11418440.0,21510049.0,-11886400.0,115.2264748912799,-71.35354180590897,-0.024134993683532002,-0.1937468711262511,16427.393692141268,-205.46000000000004,15377471.0,17724505.0,15369277.0,17739058.0,15339550.0,-5785817.0
TOI-789_W_2020-02-04.fits,1611211777.25179,14.6,115.2506098676359,-71.15979495589372,195.60263553044723,43.37651172791885,1.4560500138458794,0.6506173502177668,116.02984072709214,-71.45360867050564,0.7792308594562343,-0.29381371461192884,32666.3799533827,4063.3500000000004,21541089.0,-1698519.0,21537966.0,-1688067.0,20821005.0,-25128037.0,116.14595363409337,-71.23079796780775,0.8953437664574722,-0.07100301191402991,25166.41891206817,983.9200000000001,2260156.0,-2244907.0,2272530.0,-2241678.0,1423977.0,-25104025.0,115.29674892458426,-70.93648085209334,0.04613905694836262,0.22331410380037653,18944.564302578732,1189.6000000000004,10348809.0,7326724.0,10346623.0,7321954.0,9969239.0,-16085215.0,114.35717496677023,-71.1953884197813,-0.893434900865671,-0.035593463887579446,24608.81502981728,1298.25,21253545.0,11425047.0,21240931.0,11415794.0,21511341.0,-11889046.0,115.22647487280152,-71.35354182668698,-0.02413499483438386,-0.19374687079326236,16427.27747963073,-205.46000000000004,15377408.0,17724667.0,15368328.0,17737342.0,15338601.0,-5787533.0
TOI-789_W_2020-02-04.fits,1611213471.115687,14.9,115.25060976327518,-71.15979508304147,197.5681093079755,41.61079925570921,1.505871813367341,0.7741358702156818,116.029840614489,-71.45360880152096,0.7792308512138248,-0.293813718479484,32664.662339294624,4063.3500000000004,21543710.0,-1694122.0,21536299.0,-1689794.0,20819338.0,-25129764.0,116.14595353246244,-71.23079809926858,0.8953437691872637,-0.07100301622710958,25164.578252773685,983.9200000000001,2264730.0,-2242794.0,2270714.0,-2240890.0,1422161.0,-25103237.0,115.2967488309223,-70.93648097917729,0.04613906764711828,0.22331410386418327,18945.30182235978,1189.6000000000004,10353404.0,7328712.0,10346134.0,7321606.0,9968750.0,-16085563.0,114.35717485478654,-71.19538854252886,-0.8934349084886435,-0.035593459487387236,24610.3931616059,1298.25,21256422.0,11427006.0,21240422.0,11418069.0,21510832.0,-11886771.0,115.22647476150955,-71.35354195182936,-0.024135001765628772,-0.1937468687878834,16426.473456557476,-205.46000000000004,15377024.0,17725920.0,15370234.0,17737507.0,15340507.0,-5787368.0
