field, time, ra, dec, az, alt, airmass, ha, FU1_ra, FU1_dec, FU1_Delta_ra, FU1_Delta_dec, FU1_distance, FU1_Delta_Teff, FU1_X_calculated, FU1_Y_calculated, FU1_X_observed, FU1_Y_observed, FU2_ra, FU2_dec, FU2_Delta_ra, FU2_Delta_dec, FU2_distance, FU2_Delta_Teff, FU2_X_calculated, FU2_Y_calculated, FU2_X_observed, FU2_Y_observed, FU3_ra, FU3_dec, FU3_Delta_ra, FU3_Delta_dec, FU3_distance, FU3_Delta_Teff, FU3_X_calculated, FU3_Y_calculated, FU3_X_observed, FU3_Y_observed, FU4_ra, FU4_dec, FU4_Delta_ra, FU4_Delta_dec, FU4_distance, FU4_Delta_Teff, FU4_X_calculated, FU4_Y_calculated, FU4_X_observed, FU4_Y_observed, FU5_ra, FU5_dec, FU5_Delta_ra, FU5_Delta_dec, FU5_distance, FU5_Delta_Teff, FU5_X_calculated, FU5_Y_calculated, FU5_X_observed, FU5_Y_observed 
TOI-704_W_2019-11-27.fits, 1574910105.1, 91.46908305338702, -55.223465831292074, 140.8751841193208, 46.135414236499585, 1.3870018685393315, -0.8732930746809577, 91.58643962078602, -55.55425987830358, 0.1173565673989998, -0.3307940470115085, 28569.437078579987, 2186.0, 5669705, -4455020, 5645854.0, -4454549.0, 91.9084998432335, -55.48054366950146, 0.4394167898464758, -0.25707783820938346, 30355.233787691246, 2203.62, -13705470, -3309637, -13732721.0, -3282520.0, 91.9400744974326, -55.24416956235969, 0.47099144404558047, -0.020703731067612807, 22808.69427122835, 904.3000000000002, -18836031, 11277667, -18825366.0, 11301281.0, 91.50895566045622, -55.11203157206983, 0.03987260706919926, 0.11143425922224282, 9622.094491034652, 2821.7700000000004, -7494675, 16285921, -7479184.0, 16279916.0, 91.18578533923996, -55.313327207915236, -0.28329771414706784, -0.08986137662316196, 15610.211431409183, 660.1199999999999, 2362771, 8448501, 2364481.0, 8452071.0 
TOI-704_W_2019-11-27.fits, 1583797450.6, 91.4704341779304, -55.223505582245686, 182.53656036429862, 63.99021727907953, 1.1126946172264827, 0.03412401374746542, 91.58776328637309, -55.55430310249753, 0.11732910844268929, -0.33079752025184206, 28569.858840591376, 2186.0, 5653263, -4458770, 5665660.0, -4446519.0, 91.90983328160368, -55.48059660564165, 0.4393991036732814, -0.2570910233959651, 30350.20488673542, 2203.62, -13717196, -3297715, -13711375.0, -3294350.0, 91.94142509304258, -55.244221897112084, 0.47099091511218205, -0.020716314866398022, 22799.118882169892, 904.3000000000002, -18832368, 11290078, -18823267.0, 11289308.0, 91.51031603494927, -55.112074199164354, 0.03988185701886948, 0.1114313830813316, 9617.87074812993, 2821.7700000000004, -7487095, 16283902, -7484801.0, 16276477.0, 91.1871825886352, -55.313333029610405, -0.28325158929520455, -0.08982744736471915, 15619.909302397702, 660.1199999999999, 2358368, 8437712, 2370915.0, 8459200.0 
HD36239_W, 1565606313.5454907, 82.52125581378405, -25.275789603366984, 90.22279919856503, 60.475987067005825, 1.1492281452498838, -0.5763690827619881, 82.50369396865206, -25.667993965322655, -0.017561845131993437, -0.3922043619556703, 33228.300627164484, -513.9700000000003, -1294249, -9661829, -1294870, -9669257, 82.75867202462253, -25.456181539785238, 0.2374162108384752, -0.18039193641825335, 23728.583208645032, -275.4800000000005, -8379839, 1512053, -8392821, 1511190, 82.81027143407537, -25.11846740823871, 0.2890156202913232, 0.15732219512827328, 25838.178867056064, 451.1999999999998, -9444211, -625049, -9439880, -628902, 82.47351248652528, -25.04512528971927, -0.04774332725877173, 0.2306643136477149, 19862.012242924797, -879.4400000000005, -8910371, 4809942, -8895299, 4800800, 82.20608064581702, -25.275154703802517, -0.31517516796702694, 0.0006348995644671618, 24115.543875687898, -298.3000000000002, -8142131, 806656, -8144131, 797111 
TOI-836_W_2020-03-07.fits, 1583647000.0, 225.6165718144383, -24.483053833057816, 92.3865241812833, 53.48481490142426, 1.2442466245681378, -0.7118290494986432, 225.40408454573046, -24.851041005088742, -0.2124872687078323, -0.3679871720309258, 35176.009621400146, 308.09999999999945, -16263002, -7647273, -16284848.0, -7631128.0, 225.7198772409057, -24.591094794647155, 0.10330542646741492, -0.10804096158933874, 12119.541953905764, 84.05999999999949, -5697192, 13110422, -5708606.0, 13127990.0, 225.88994779640484, -24.38546899340195, 0.2733759819665522, 0.09758483965586606, 22636.827610999295, -762.3700000000003, -11545973, 4090655, -11541870.0, 4107772.0, 225.5347330089755, -24.129480754957704, -0.08183880546278033, 0.35357307810011207, 30591.341120208395, 1902.0900000000001, -12881566, -5194691, -12888095.0, -5183516.0, 225.37456045679045, -24.53336781487728, -0.24201135764784, -0.050313981819464004, 19110.775104973258, -275.2300000000005, -2356069, 4711583, -2361288.0, 4710596.0 
HD203911_W, 1565682032.5679355, 321.70056248364085, -21.577346928733345, 270.46468008347745, 49.62615274621529, 1.3126218003261256, 0.7706834022074824, 321.62322843783085, -21.94821921717, -0.07733404581000514, -0.37087228843665443, 31978.882244800192, -1827.5200000000004, -6033313, -7861078, -6032701, -7861741, 321.84403477395625, -21.804628969066243, 0.1434722903154011, -0.22728204033289856, 22291.48628690258, -2060.25, -14271257, 6833163, -14282682, 6836668, 321.8587008166902, -21.47098424819849, 0.15813833304935088, 0.10636268053485409, 15355.229777613107, -1726.1500000000005, -4092478, 8572819, -4090550, 8570865, 321.53218543064855, -21.208560128310403, -0.1683770529922981, 0.3687868004229422, 33934.53156943517, -2342.7800000000007, -7969912, -10347313, -7995293, -10331430, 321.3643738824927, -21.77004844909387, -0.3361886011481374, -0.1927015203605258, 31084.84558026349, -862.1000000000004, 6769392, -6455343, 6762442, -6450556 
TOI-521_W_2020-01-30.fits, 1581384865.3, 123.51906446877149, 12.117716221966315, 39.37759428210316, 39.470789029532234, 1.5731068149931147, -0.5245554461517354, 123.49026111938011, 11.90815783512154, -0.028803349391381516, -0.20955838684477612, 17880.015903111806, 4603.47, -2304233, 5836638, -2286445.0, 5837543.0, 123.62222239437965, 12.160437861261887, 0.10315792560815851, 0.04272163929557138, 9283.501045208466, -771.1499999999996, 6627540, 16516830, 6614519.0, 16535560.0, 123.6347936707411, 12.387928342786248, 0.11572920196961434, 0.2702121208199326, 24809.578415038104, -25.099999999999454, 6417942, -974537, 6432220.0, -950898.0, 123.24204539825836, 12.283233845414745, -0.2770190705131341, 0.16551762344843013, 26862.192388497686, 1142.8900000000003, 9945612, -2071082, 9968381.0, -2059383.0, 123.26729496555154, 12.012867559391621, -0.25176950321994696, -0.10484866257469427, 22636.86925443949, 874.4700000000003, 1334596, 1196985, 1354941.0, 1200379.0 
TOI-562_W_2019-11-24.fits, 1580095771.2, 144.5106090572725, -21.491091314468502, 85.54192870936807, 55.842749397221276, 1.2084596169837647, -0.6453821627095149, 144.52983153359438, -21.656881304914204, 0.019222476321886006, -0.16578999044570253, 14107.565821427246, -4120.41, 1604156, 9543327, 1602220.0, 9542074.0, 144.74835136370987, -21.47605442484874, 0.23774230643738292, 0.01503688961976124, 18776.89116864075, -3503.92, 7534569, 6090647, 7528338.0, 6101190.0, 144.80285442532383, -21.247047761642218, 0.29224536805133994, 0.24404355282628387, 30957.117633878854, -4531.3099999999995, -5847490, -7111479, -5849188.0, -7100243.0, 144.3244181857887, -21.554734257673733, -0.1861908714838023, -0.063642943205231, 15603.735954780077, -848.25, 14697677, 18532362, 14724721.0, 18516808.0, 144.2387223471199, -21.756859437106367, -0.2718867101525859, -0.26576812263786564, 31054.62084910981, -4577.75, 14232847, -3523908, 14201545.0, -3516524.0 
TOI-562_W_2019-11-24.fits, 1608962993.212237, 144.52116143385902, -21.495233598302278, 79.04324538706508, 63.96853016269109, 1.112900241209672, -0.4813702060083669, 144.54037664149573, -21.661027427257995, 0.019215207636705145, -0.16579382895571726, 14108.095508857723, -4120.41, 1600719, 9542415, 1599558.0, 9539687.0, 144.75891400440537, -21.480214260808584, 0.23775257054634835, 0.015019337493693996, 18773.569530915633, -3503.92, 7532498, 6093395, 7526473.0, 6098380.0, 144.81343514746436, -21.251210395246687, 0.29227371360533994, 0.24402320305559044, 30954.05727412449, -4531.3099999999995, -5845713, -7108726, -5852702.0, -7098610.0, 144.33495947855135, -21.558868711954798, -0.18620195530766637, -0.06363511365251995, 15607.05227968709, -848.25, 14700746, 18530995, 14726996.0, 18515770.0, 144.24929042498005, -21.761243481061467, -0.27187100887897486, -0.2660098827591888, 31057.50626647171, -4577.75, 14232363, -3527470, 14222435.0, -3522656.0 
HD208464_W, 1565676647.7147057, 329.52339357236514, -28.11785074984207, 272.00889681523137, 77.82084687570436, 1.0230255224957958, 0.24147950344725097, 329.4518361472702, -28.292848512261074, -0.07155742509490892, -0.17499776241900378, 15740.779457229364, -389.1199999999999, -5255869, 8748150, -5258922, 8741558, 329.7734234144603, -28.38550857110114, 0.25002984209515944, -0.2676578212590712, 29339.439717020578, -993.3900000000003, -15264014, -1225318, -15274068, -1226990, 329.5140078361765, -27.9019373937685, -0.009385736188619376, 0.2159133560735711, 18287.993824667923, -1457.2600000000002, 12038150, 8819097, 12045120, 8814976, 329.1430544487628, -27.935259488775582, -0.3803391236023117, 0.18259126106648793, 32358.314344712573, -1322.5100000000002, 13635171, -6451820, 13623465, -6452850, 329.1116123346827, -28.19651420715326, -0.41178123768241903, -0.0786634573111904, 31451.52757535193, 167.73999999999978, -3732347, -7571956, -3737010, -7567835 
TOI-175_W_2019-12-13.fits, 1577340515.8, 125.09816261164235, -68.24123660918401, 174.61042467484168, 50.63778412390274, 1.293406758033376, -0.16105625826623804, 125.77245726380534, -68.54215624188397, 0.6742946521629847, -0.3009196326999586, 33038.20579182968, -829.8199999999997, 20911771, -2041767, 20882390.0, -2034546.0, 126.09632471447381, -68.27643013499544, 0.9981621028314578, -0.03519352581142243, 31444.937983073625, -1287.08, 7104465, -7242958, 7097789.0, -7242130.0, 124.91815350911025, -68.01069374798274, -0.18000910253209668, 0.23054286120127188, 20309.768563638456, 44.88000000000011, 16793278, 10758609, 16796270.0, 10752854.0, 124.37069432006028, -68.14181695571688, -0.7274682915820705, 0.09941965346713744, 24368.173058822864, 400.6700000000001, 13337483, 2575123, 13333206.0, 2566727.0, 124.55821938189759, -68.37797938127248, -0.5399432297447646, -0.13674277208846775, 20482.21078062616, -805.3299999999999, 5220023, 4134688, 5203830.0, 4140996.0 
