field, time, temperature, ra, dec, az, alt, airmass, ha, FU1_ra, FU1_dec, FU1_Delta_ra, FU1_Delta_dec, FU1_distance, FU1_Delta_Teff, FU1_X_calculated, FU1_Y_calculated, FU1_X_observed, FU1_Y_observed, FU1_Delta_X, FU1_Delta_Y, FU2_ra, FU2_dec, FU2_Delta_ra, FU2_Delta_dec, FU2_distance, FU2_Delta_Teff, FU2_X_calculated, FU2_Y_calculated, FU2_X_observed, FU2_Y_observed, FU2_Delta_X, FU2_Delta_Y, FU3_ra, FU3_dec, FU3_Delta_ra, FU3_Delta_dec, FU3_distance, FU3_Delta_Teff, FU3_X_calculated, FU3_Y_calculated, FU3_X_observed, FU3_Y_observed, FU3_Delta_X, FU3_Delta_Y, FU4_ra, FU4_dec, FU4_Delta_ra, FU4_Delta_dec, FU4_distance, FU4_Delta_Teff, FU4_X_calculated, FU4_Y_calculated, FU4_X_observed, FU4_Y_observed, FU4_Delta_X, FU4_Delta_Y, FU5_ra, FU5_dec, FU5_Delta_ra, FU5_Delta_dec, FU5_distance, FU5_Delta_Teff, FU5_X_calculated, FU5_Y_calculated, FU5_X_observed, FU5_Y_observed, FU5_Delta_X, FU5_Delta_Y 
TOI-704_W_2019-11-27.fits, 1574910105.1, 16.2, 91.46908305338702, -55.223465831292074, 140.8751841193208, 46.135414236499585, 1.3870018685393315, -0.8732930746809577, 91.58643962078602, -55.55425987830358, 0.1173565673989998, -0.3307940470115085, 28569.437472484846, 2186.0, 5669685.0, -4455024.0, 5645854.0, -4454549.0, 5535682.0, -28038646.0, 91.9084998432335, -55.48054366950146, 0.4394167898464758, -0.25707783820938346, 30355.236678405046, 2203.62, -13705490.0, -3309629.0, -13732721.0, -3282520.0, -14258394.0, -26798019.0, 91.9400744974326, -55.24416956235969, 0.47099144404558047, -0.020703731067612807, 22808.694732180724, 904.3000000000002, -18836040.0, 11277680.0, -18825366.0, 11301281.0, -19511198.0, -11887463.0, 91.50895566045622, -55.11203157206983, 0.03987260706919926, 0.11143425922224282, 9622.092225481721, 2821.7700000000004, -7494679.0, 16285928.0, -7479184.0, 16279916.0, -7117104.0, -6500149.0, 91.18578533923996, -55.313327207915236, -0.28329771414706784, -0.08986137662316196, 15610.160471129035, 660.1199999999999, 2362739.0, 8448547.0, 2364481.0, 8452071.0, 3105972.0, -15329533.0 
TOI-704_W_2019-11-27.fits, 1583797450.6, 17.1, 91.4704341779304, -55.223505582245686, 182.53656036429862, 63.99021727907953, 1.1126946172264827, 0.03412401374746542, 91.58776328637309, -55.55430310249753, 0.11732910844268929, -0.33079752025184206, 28569.859241769653, 2186.0, 5653243.0, -4458775.0, 5665660.0, -4446519.0, 5555488.0, -28030616.0, 91.90983328160368, -55.48059660564165, 0.4393991036732814, -0.2570910233959651, 30350.20778367852, 2203.62, -13717216.0, -3297708.0, -13711375.0, -3294350.0, -14237048.0, -26809849.0, 91.94142509304258, -55.244221897112084, 0.47099091511218205, -0.020716314866398022, 22799.11934557433, 904.3000000000002, -18832377.0, 11290092.0, -18823267.0, 11289308.0, -19509099.0, -11899436.0, 91.51031603494927, -55.112074199164354, 0.03988185701886948, 0.1114313830813316, 9617.868475774116, 2821.7700000000004, -7487098.0, 16283909.0, -7484801.0, 16276477.0, -7122721.0, -6503588.0, 91.1871825886352, -55.313333029610405, -0.28325158929520455, -0.08982744736471915, 15619.858345715167, 660.1199999999999, 2358337.0, 8437758.0, 2370915.0, 8459200.0, 3112406.0, -15322404.0 
HD36239_W, 1565606313.5454907, 9.1, 82.52125581378405, -25.275789603366984, 90.22279919856503, 60.475987067005825, 1.1492281452498838, -0.5763690827619881, 82.50369396865206, -25.667993965322655, -0.017561845131993437, -0.3922043619556703, 33228.29999140922, -513.9700000000003, -1294265.0, -9661828.0, -1294870.0, -9669257.0, -1405042.0, -33253354.0, 82.75867202462253, -25.456181539785238, 0.2374162108384752, -0.18039193641825335, 23728.583695205853, -275.4800000000005, -8379849.0, 1512057.0, -8392821.0, 1511190.0, -8918494.0, -22004309.0, 82.81027143407537, -25.11846740823871, 0.2890156202913232, 0.15732219512827328, 25838.172893884286, 451.1999999999998, -9444225.0, -625037.0, -9439880.0, -628902.0, -10125712.0, -23817646.0, 82.47351248652528, -25.04512528971927, -0.04774332725877173, 0.2306643136477149, 19862.01309318627, -879.4400000000005, -8910379.0, 4809945.0, -8895299.0, 4800800.0, -8533219.0, -17979265.0, 82.20608064581702, -25.275154703802517, -0.31517516796702694, 0.0006348995644671618, 24115.544111117797, -298.3000000000002, -8142143.0, 806660.0, -8144131.0, 797111.0, -7402640.0, -22984493.0 
TOI-836_W_2020-03-07.fits, 1583647000.0, 16.3, 225.6165718144383, -24.483053833057816, 92.3865241812833, 53.48481490142426, 1.2442466245681378, -0.7118290494986432, 225.40408454573046, -24.851041005088742, -0.2124872687078323, -0.3679871720309258, 35176.00797783598, 308.09999999999945, -16262993.0, -7647276.0, -16284848.0, -7631128.0, -16395020.0, -31215225.0, 225.7198772409057, -24.591094794647155, 0.10330542646741492, -0.10804096158933874, 12119.539040599273, 84.05999999999949, -5697186.0, 13110421.0, -5708606.0, 13127990.0, -6234279.0, -10387509.0, 225.88994779640484, -24.38546899340195, 0.2733759819665522, 0.09758483965586606, 22636.82887008752, -762.3700000000003, -11545966.0, 4090649.0, -11541870.0, 4107772.0, -12227702.0, -19080972.0, 225.5347330089755, -24.129480754957704, -0.08183880546278033, 0.35357307810011207, 30591.34131907493, 1902.0900000000001, -12881557.0, -5194695.0, -12888095.0, -5183516.0, -12526015.0, -27963581.0, 225.37456045679045, -24.53336781487728, -0.24201135764784, -0.050313981819464004, 19110.792171416175, -275.2300000000005, -2356068.0, 4711566.0, -2361288.0, 4710596.0, -1619797.0, -19071008.0 
TOI-789_W_2020-02-04.fits, 1611204780.628105, 15.8, 115.25061029870506, -71.15979443070096, 183.85223458259742, 47.86145812916086, 1.3485727650527786, 0.1404154360158066, 116.02984119220717, -71.4536081293377, 0.7792308935021168, -0.2938136986367397, 32651.63994206992, 4063.3500000000004, 21008566.0, -1460846.0, 20982967.0, -1451970.0, 20872795.0, -25036067.0, 116.14595405388702, -71.2307974247995, 0.895343755181969, -0.07100299409854927, 25157.71927215492, 983.9200000000001, 2159512.0, -1597245.0, 2157631.0, -1596026.0, 1631958.0, -25111525.0, 115.29674931146157, -70.93648032716408, 0.04613901275651244, 0.22331410353687886, 18931.29102390259, 1189.6000000000004, 10775181.0, 7142911.0, 10775402.0, 7134387.0, 10089570.0, -16054357.0, 114.35717542932672, -71.19538791276389, -0.8934348693783392, -0.03559348206293578, 24586.774462383415, 1298.25, 21292112.0, 11006081.0, 21292789.0, 10980959.0, 21654869.0, -11799106.0, 115.22647533250073, -71.35354130977768, -0.02413496620432909, -0.19374687907672694, 16418.63207337237, -205.46000000000004, 14703795.0, 18083853.0, 14691088.0, 18080840.0, 15432579.0, -5700764.0 
TOI-789_W_2020-02-04.fits, 1611204922.674705, 15.8, 115.25061028995344, -71.15979444136352, 184.13269803226396, 47.825406107085286, 1.3493412378213339, 0.15077363884907005, 116.02984118276433, -71.45360814032459, 0.7792308928108866, -0.293813698961074, 32651.541809483726, 4063.3500000000004, 21008462.0, -1460805.0, 20984537.0, -1452406.0, 20874365.0, -25036503.0, 116.14595404536433, -71.23079743582375, 0.8953437554108916, -0.07100299446022973, 25157.58199208346, 983.9200000000001, 2159515.0, -1597107.0, 2158968.0, -1597326.0, 1633295.0, -25112825.0, 115.29674930360713, -70.93648033782127, 0.046139013653686334, 0.22331410354225056, 18931.294942193632, 1189.6000000000004, 10775321.0, 7142995.0, 10773975.0, 7133656.0, 10088143.0, -16055088.0, 114.35717541993581, -71.19538792305745, -0.8934348700176287, -0.035593481693936724, 24586.909783112376, 1298.25, 21292232.0, 11006017.0, 21291826.0, 10982301.0, 21653906.0, -11797764.0, 115.22647532316783, -71.35354132027206, -0.02413496678560989, -0.19374687890854148, 16418.624163038934, -205.46000000000004, 14703747.0, 18083743.0, 14691608.0, 18081637.0, 15433099.0, -5699967.0 
TOI-789_W_2020-02-04.fits, 1611205351.66489, 15.7, 115.2506102635229, -71.15979447356511, 184.973714919486, 47.70124706647881, 1.3519985874218055, 0.18205610070816244, 116.02984115424631, -71.4536081735057, 0.7792308907234116, -0.2938136999405856, 32651.241000434762, 4063.3500000000004, 21008166.0, -1460660.0, 20985192.0, -1450780.0, 20875020.0, -25034877.0, 116.14595401962512, -71.2307974691177, 0.8953437561022213, -0.07100299555258971, 25157.165901445813, 983.9200000000001, 2159548.0, -1596688.0, 2158997.0, -1596532.0, 1633324.0, -25112031.0, 115.29674927988619, -70.93648037000672, 0.04613901636328421, 0.2233141035583941, 18931.31250012912, 1189.6000000000004, 10775759.0, 7143248.0, 10774935.0, 7133755.0, 10089103.0, -16054989.0, 114.35717539157467, -71.19538795414465, -0.8934348719482301, -0.03559348057953571, 24587.317979915773, 1298.25, 21292599.0, 11005836.0, 21290548.0, 10981526.0, 21652628.0, -11798539.0, 115.22647529498191, -71.35354135196577, -0.024134968540991508, -0.19374687840065974, 16418.594383762866, -205.46000000000004, 14703598.0, 18083425.0, 14691742.0, 18083557.0, 15433233.0, -5698047.0 
TOI-789_W_2020-02-04.fits, 1611211777.25179, 14.6, 115.2506098676359, -71.15979495589372, 195.60263553044723, 43.37651172791885, 1.4560500138458794, 0.6506173502177668, 116.02984072709214, -71.45360867050564, 0.7792308594562343, -0.29381371461192884, 32645.87431692719, 4063.3500000000004, 21006909.0, -1454719.0, 20988729.0, -1447650.0, 20878557.0, -25031747.0, 116.14595363409337, -71.23079796780775, 0.8953437664574722, -0.07100301191402991, 25150.621682280747, 983.9200000000001, 2164282.0, -1589818.0, 2160588.0, -1591623.0, 1634915.0, -25107122.0, 115.29674892458426, -70.93648085209334, 0.04613905694836262, 0.22331410380037653, 18932.66672840796, 1189.6000000000004, 10785075.0, 7147493.0, 10783421.0, 7138892.0, 10097589.0, -16049852.0, 114.35717496677023, -71.1953884197813, -0.893434900865671, -0.035593463887579446, 24593.366758407512, 1298.25, 21299016.0, 11004936.0, 21291210.0, 10985714.0, 21653290.0, -11794351.0, 115.22647487280152, -71.35354182668698, -0.02413499483438386, -0.19374687079326236, 16417.026093685865, -205.46000000000004, 14701004.0, 18080920.0, 14692695.0, 18085788.0, 15434186.0, -5695816.0 
TOI-789_W_2020-02-04.fits, 1611212059.918812, 14.6, 115.2506098502205, -71.15979497711177, 195.95774958713395, 43.09629275042256, 1.4636434022354456, 0.67122975731458, 116.02984070830126, -71.45360869236912, 0.7792308580807656, -0.29381371525734323, 32645.59753942704, 4063.3500000000004, 21006990.0, -1454291.0, 20987522.0, -1448304.0, 20877350.0, -25032401.0, 116.14595361713354, -71.23079798974554, 0.8953437669130437, -0.07100301263376707, 25150.31840816253, 983.9200000000001, 2164677.0, -1589488.0, 2161239.0, -1591795.0, 1635566.0, -25107294.0, 115.29674890895423, -70.93648087330072, 0.046139058733729144, 0.22331410381104888, 18932.777491242552, 1189.6000000000004, 10785607.0, 7147696.0, 10782679.0, 7139912.0, 10096847.0, -16048832.0, 114.35717494808272, -71.19538844026505, -0.8934349021377841, -0.03559346315327616, 24593.630504366523, 1298.25, 21299336.0, 11004971.0, 21294719.0, 10985642.0, 21656799.0, -11794423.0, 115.22647485422947, -71.35354184757038, -0.024134995991033747, -0.19374687045861094, 16416.90453413364, -205.46000000000004, 14700870.0, 18080908.0, 14694391.0, 18086045.0, 15435882.0, -5695559.0 
TOI-789_W_2020-02-04.fits, 1611213471.115687, 14.9, 115.25060976327518, -71.15979508304147, 197.5681093079755, 41.61079925570921, 1.505871813367341, 0.7741358702156818, 116.029840614489, -71.45360880152096, 0.7792308512138248, -0.293813718479484, 32644.15777199533, 4063.3500000000004, 21007562.0, -1451935.0, 20987441.0, -1448541.0, 20877269.0, -25032638.0, 116.14595353246244, -71.23079809926858, 0.8953437691872637, -0.07100301622710958, 25148.78217704787, 983.9200000000001, 2166890.0, -1587803.0, 2161043.0, -1590164.0, 1635370.0, -25105663.0, 115.2967488309223, -70.93648097917729, 0.04613906764711828, 0.22331410386418327, 18933.40379393274, 1189.6000000000004, 10788422.0, 7148724.0, 10785730.0, 7138911.0, 10099898.0, -16049833.0, 114.35717485478654, -71.19538854252886, -0.8934349084886435, -0.035593459487387236, 24594.9438971768, 1298.25, 21300977.0, 11005230.0, 21292285.0, 10985878.0, 21654365.0, -11794187.0, 115.22647476150955, -71.35354195182936, -0.024135001765628772, -0.1937468687878834, 16416.222568321835, -205.46000000000004, 14700165.0, 18080972.0, 14693462.0, 18083896.0, 15434953.0, -5697708.0 
TOI-789_W_2020-02-04.fits, 1611213611.73625, 14.9, 115.2506097546114, -71.159795093597, 197.71364119839424, 41.455459870253655, 1.5104881555007423, 0.7843900847716146, 116.02984060514098, -71.45360881239756, 0.7792308505295722, -0.29381371880056406, 32644.00884522786, 4063.3500000000004, 21007635.0, -1451680.0, 20987095.0, -1449942.0, 20876923.0, -25034039.0, 116.14595352402529, -71.23079811018215, 0.8953437694138842, -0.07100301658515207, 25148.62702403734, 983.9200000000001, 2167133.0, -1587632.0, 2160871.0, -1590405.0, 1635198.0, -25105904.0, 115.2967488231467, -70.93648098972751, 0.0461390685352967, 0.22331410386948392, 18933.473139530586, 1189.6000000000004, 10788718.0, 7148827.0, 10784663.0, 7140397.0, 10098831.0, -16048347.0, 114.35717484548991, -71.19538855271905, -0.8934349091214955, -0.03559345912205458, 24595.074430393284, 1298.25, 21301145.0, 11005264.0, 21293748.0, 10986976.0, 21655828.0, -11793089.0, 115.22647475227038, -71.35354196221839, -0.02413500234102628, -0.193746868621389, 16416.147516283258, -205.46000000000004, 14700091.0, 18080990.0, 14694292.0, 18083097.0, 15435783.0, -5698507.0 
TOI-789_W_2020-02-04.fits, 1611215166.405169, 14.8, 115.25060965882663, -71.15979521029627, 199.14225856597585, 39.661527863516945, 1.566781602017541, 0.8977583455449909, 116.02984050179111, -71.45360893264653, 0.7792308429644805, -0.29381372235026504, 32642.292761286186, 4063.3500000000004, 21008624.0, -1448615.0, 20983347.0, -1447721.0, 20873175.0, -25031818.0, 116.14595343074599, -71.23079823084007, 0.8953437719193573, -0.07100302054379881, 25146.88572542561, 983.9200000000001, 2170091.0, -1585692.0, 2160169.0, -1586617.0, 1634496.0, -25102116.0, 115.29674873718147, -70.9364811063682, 0.04613907835484099, 0.22331410392806106, 18934.32914795307, 1189.6000000000004, 10792162.0, 7149979.0, 10787164.0, 7138505.0, 10101332.0, -16050239.0, 114.35717474270855, -71.19538866537972, -0.8934349161180819, -0.03559345508345757, 24596.512371298326, 1298.25, 21303036.0, 11005720.0, 21294961.0, 10985503.0, 21657041.0, -11794562.0, 115.22647465012393, -71.35354207707702, -0.024135008702700134, -0.19374686678075648, 16415.226531056243, -205.46000000000004, 14699232.0, 18081329.0, 14693660.0, 18081507.0, 15435151.0, -5700097.0 
TOI-789_W_2020-02-04.fits, 1611215872.35971, 14.9, 115.25060961533204, -71.15979526328785, 199.68267173071277, 38.80601735810298, 1.5956963276162142, 0.94923736947869, 116.02984045486131, -71.45360898725, 0.7792308395292764, -0.29381372396215966, 32641.46955160411, 4063.3500000000004, 21009186.0, -1447071.0, 20982851.0, -1449493.0, 20872679.0, -25033590.0, 116.14595338838906, -71.23079828562922, 0.8953437730570215, -0.07100302234137246, 25146.0789545533, 983.9200000000001, 2171602.0, -1584784.0, 2159353.0, -1586209.0, 1633680.0, -25101708.0, 115.29674869814585, -70.93648115933321, 0.046139082813809296, 0.22331410395463536, 18934.77487688788, 1189.6000000000004, 10793836.0, 7150504.0, 10786175.0, 7139711.0, 10100343.0, -16049033.0, 114.35717469603694, -71.19538871653741, -0.8934349192951032, -0.03559345324956098, 24597.161460450166, 1298.25, 21303917.0, 11005977.0, 21291475.0, 10987138.0, 21653555.0, -11792927.0, 115.22647460374061, -71.35354212923282, -0.024135011591425837, -0.19374686594497348, 16414.750186971316, -205.46000000000004, 14698811.0, 18081568.0, 14694067.0, 18081504.0, 15435558.0, -5700100.0 
